Vmix	Field
-6.339955E-06	-3.900000E-02
-6.276906E-06	-3.880000E-02
-6.199846E-06	-3.860000E-02
-6.185835E-06	-3.840000E-02
-6.297922E-06	-3.820000E-02
-6.374982E-06	-3.800000E-02
-6.501081E-06	-3.780000E-02
-6.585147E-06	-3.760000E-02
-6.466054E-06	-3.740000E-02
-6.339955E-06	-3.720000E-02
-6.262895E-06	-3.700000E-02
-6.515092E-06	-3.680000E-02
-6.823333E-06	-3.660000E-02
-7.047508E-06	-3.640000E-02
-6.942426E-06	-3.620000E-02
-6.788305E-06	-3.600000E-02
-6.893388E-06	-3.580000E-02
-6.970448E-06	-3.560000E-02
-6.774294E-06	-3.540000E-02
-6.816327E-06	-3.520000E-02
-6.893388E-06	-3.500000E-02
-6.865366E-06	-3.480000E-02
-6.627179E-06	-3.460000E-02
-6.606163E-06	-3.440000E-02
-6.571136E-06	-3.420000E-02
-6.403004E-06	-3.400000E-02
-6.431026E-06	-3.380000E-02
-6.494075E-06	-3.360000E-02
-6.557125E-06	-3.340000E-02
-6.550119E-06	-3.320000E-02
-6.445037E-06	-3.300000E-02
-6.241878E-06	-3.280000E-02
-6.304928E-06	-3.260000E-02
-6.438032E-06	-3.240000E-02
-6.515092E-06	-3.220000E-02
-6.410010E-06	-3.200000E-02
-6.452043E-06	-3.180000E-02
-6.192840E-06	-3.160000E-02
-6.038720E-06	-3.140000E-02
-5.989681E-06	-3.120000E-02
-5.863583E-06	-3.100000E-02
-5.751495E-06	-3.080000E-02
-5.786522E-06	-3.060000E-02
-6.031714E-06	-3.040000E-02
-6.234873E-06	-3.020000E-02
-6.325944E-06	-3.000000E-02
-6.473059E-06	-2.980000E-02
-6.332950E-06	-2.960000E-02
-6.255889E-06	-2.940000E-02
-6.045725E-06	-2.920000E-02
-5.905616E-06	-2.900000E-02
-6.017703E-06	-2.880000E-02
-6.129791E-06	-2.860000E-02
-6.276906E-06	-2.840000E-02
-6.262895E-06	-2.820000E-02
-6.150807E-06	-2.800000E-02
-6.199846E-06	-2.780000E-02
-6.010698E-06	-2.760000E-02
-5.961659E-06	-2.740000E-02
-6.045725E-06	-2.720000E-02
-6.094763E-06	-2.700000E-02
-6.031714E-06	-2.680000E-02
-5.968665E-06	-2.660000E-02
-5.947648E-06	-2.640000E-02
-5.926632E-06	-2.620000E-02
-5.877594E-06	-2.600000E-02
-5.821550E-06	-2.580000E-02
-5.758501E-06	-2.560000E-02
-5.772512E-06	-2.540000E-02
-5.786522E-06	-2.520000E-02
-5.891605E-06	-2.500000E-02
-5.919626E-06	-2.480000E-02
-5.905616E-06	-2.460000E-02
-5.912621E-06	-2.440000E-02
-5.982676E-06	-2.420000E-02
-5.947648E-06	-2.400000E-02
-5.975670E-06	-2.380000E-02
-6.024709E-06	-2.360000E-02
-6.031714E-06	-2.340000E-02
-5.968665E-06	-2.320000E-02
-5.814544E-06	-2.300000E-02
-5.800533E-06	-2.280000E-02
-5.744490E-06	-2.260000E-02
-5.653418E-06	-2.240000E-02
-5.758501E-06	-2.220000E-02
-5.905616E-06	-2.200000E-02
-5.835561E-06	-2.180000E-02
-5.709462E-06	-2.160000E-02
-5.611386E-06	-2.140000E-02
-5.506303E-06	-2.120000E-02
-5.618391E-06	-2.100000E-02
-5.765506E-06	-2.080000E-02
-5.905616E-06	-2.060000E-02
-5.975670E-06	-2.040000E-02
-5.961659E-06	-2.020000E-02
-5.765506E-06	-2.000000E-02
-5.849572E-06	-1.980000E-02
-5.884599E-06	-1.960000E-02
-5.821550E-06	-1.940000E-02
-5.793528E-06	-1.920000E-02
-5.758501E-06	-1.900000E-02
-5.723473E-06	-1.880000E-02
-5.674435E-06	-1.860000E-02
-5.457265E-06	-1.840000E-02
-5.499298E-06	-1.820000E-02
-5.611386E-06	-1.800000E-02
-5.730479E-06	-1.780000E-02
-5.863583E-06	-1.760000E-02
-5.814544E-06	-1.740000E-02
-5.737484E-06	-1.720000E-02
-5.730479E-06	-1.700000E-02
-5.695451E-06	-1.680000E-02
-5.604380E-06	-1.660000E-02
-5.660424E-06	-1.640000E-02
-5.758501E-06	-1.620000E-02
-5.751495E-06	-1.600000E-02
-5.744490E-06	-1.580000E-02
-5.877594E-06	-1.560000E-02
-5.674435E-06	-1.540000E-02
-5.632402E-06	-1.520000E-02
-5.653418E-06	-1.500000E-02
-5.653418E-06	-1.480000E-02
-5.632402E-06	-1.460000E-02
-5.709462E-06	-1.440000E-02
-5.611386E-06	-1.420000E-02
-5.646413E-06	-1.400000E-02
-5.569353E-06	-1.380000E-02
-5.429243E-06	-1.360000E-02
